metro_area_city,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,average_listing_price,total_listing_count,year
"aberdeen, sd",182846.4286,161.75,81.33333333,43.33333333,0,36,0.333333333,224213.7298,162.0833333,2019
"aberdeen, wa",243286.1905,336,71.375,110,4.333333333,65,125.6666667,281836.4963,461.6666667,2019
"abilene, tx",214853.2738,561.1666667,66.41666667,195,3.333333333,149,282,247640.6675,843.1666667,2019
"ada, ok",155062.5,151.6666667,67.5,44.33333333,0,20.66666667,53.66666667,192856.8503,205.3333333,2019
"adrian, mi",169820.2381,428.4166667,64.41666667,123.3333333,2,83.66666667,31.25,221564.869,459.6666667,2019
"akron, oh",165456.9048,1701.5,54.16666667,798.6666667,7.666666667,563.3333333,1187.583333,244281.9995,2889.083333,2019
"alamogordo, nm",185736.9048,410.6666667,99.83333333,90.66666667,0,48.33333333,104.1666667,220033.8313,514.8333333,2019
"albany, ga",120405.7262,545.6666667,91.5,126.6666667,2,109,17.58333333,150925.8489,563.25,2019
"albany, or",349433.9286,450.5833333,50.375,232.3333333,8,143,231.9166667,448459.1346,682.5,2019
"albany-schenectady-troy, ny",297317.1072,3856,83,1118.666667,31.66666667,887.3333333,2326.666667,342436.2665,6182.666667,2019
"albemarle, nc",271732.0536,300.0833333,98.29166667,63,3,58.66666667,95.33333333,386728.57,395.4166667,2019
"albert lea, mn",153208.9286,101.3333333,70.54166667,32.66666667,0,20,42.66666667,183790.0636,144,2019
"albertville, al",231326.1905,358,94.41666667,86.33333333,2.333333333,74.66666667,1.25,320147.2408,359.25,2019
"albuquerque, nm",268651.2441,2470.083333,54.95833333,1104.333333,53.66666667,861,1882.583333,350132.4123,4352.666667,2019
"alexandria, la",188410.4167,488.75,87.20833333,109.6666667,1.333333333,108,143.5833333,228619.2114,632.3333333,2019
"alexandria, mn",283441.0714,259.4166667,85.25,67.33333333,0,52.33333333,21.58333333,321543.7385,281,2019
"alice, tx",174110.7143,120.3333333,95.83333333,24.66666667,0,18,24.75,220762.0094,145.0833333,2019
"allentown-bethlehem-easton, pa-nj",226642.1369,3770.5,68.16666667,1336,36,925.3333333,186,291950.8263,3956.5,2019
"alma, mi",109200.8929,128.6666667,74.91666667,36,0,23,15.91666667,139505.1788,144.5833333,2019
"alpena, mi",133663.0952,221.75,88.625,49.66666667,0,26,34.5,194194.9178,256.25,2019
"altoona, pa",131608.631,363.6666667,81.75,97.33333333,1,94,8.166666667,180667.4675,371.8333333,2019
"altus, ok",133673.9881,143.9166667,100.375,29,0.333333333,16,0,145173.0404,143.9166667,2019
"amarillo, tx",236760.1012,1078.5,61.04166667,379.6666667,10.66666667,284.3333333,388.3333333,306129.5869,1466.833333,2019
"americus, ga",147195.2381,115.5,115.375,21,0,16,8.583333333,167869.0644,124.0833333,2019
"ames, ia",256737.5,426.0833333,69.79166667,129.3333333,7,144,115.1666667,276822.9525,541.25,2019
"amsterdam, ny",150729.7619,211.0833333,98.04166667,48.66666667,0,47.33333333,102.5833333,201996.4348,313.6666667,2019
"anchorage, ak",317977.9762,1724.5,69.125,552,29.66666667,594,0,348989.5822,1724.5,2019
"andrews, tx",259918.6845,56.41666667,72.33333333,19.66666667,0,10.33333333,15.75,279055.4716,72.16666667,2019
"angola, in",271218.4524,153.5833333,79.66666667,38,0.333333333,27,29,339532.954,182.5833333,2019
"ann arbor, mi",386657.1429,1023.833333,59.16666667,454.6666667,16.33333333,267,411,455150.2165,1434.833333,2019
"anniston-oxford-jacksonville, al",139013.6905,436.3333333,83.375,118.3333333,0,75,87.33333333,183482.1709,523.6666667,2019
"appleton, wi",275398.6845,425.3333333,58.91666667,216,1.333333333,98.66666667,446.8333333,309507.0319,872.1666667,2019
"arcadia, fl",240182.381,123,90.08333333,29,0,28.66666667,39.75,430778.1576,162.75,2019
"ardmore, ok",162475,212,91.125,47.66666667,1.333333333,41,1.75,236524.2551,213.75,2019
"arkadelphia, ar",129032.744,110.0833333,124.75,13.66666667,0,6.333333333,2.083333333,154537.7445,112.1666667,2019
"arkansas city-winfield, ks",83667.85714,155.25,86.625,35,0.333333333,30.66666667,11.58333333,128328.6033,166.8333333,2019
"asheville, nc",394037.7976,2613,92.875,664.6666667,25,718.3333333,908.5833333,544391.4279,3521.583333,2019
