metro_area_city,income,pop
"aberdeen, sd",30802,28257
"aberdeen, wa",23090,16756
"abilene, tx",24529,123420
"ada, ok",23538,17235
"adrian, mi",20799,20600
"akron, oh",24688,197597
"alamogordo, nm",24999,31980
"albany, ga",20313,72130
"albany, or",29664,55338
"albany-schenectady-troy, ny",26440,70295
"albemarle, nc",24110,16246
"albert lea, mn",25844,17656
"albertville, al",20638,21711
"albuquerque, nm",30403,560513
"alexandria, la",27962,46180
"alexandria, mn",32468,13822
"alice, tx",21822,18682
"allentown-bethlehem-easton, pa-nj",25286,74815
"alma, mi",20237,8890
"alpena, mi",23446,9956
"altoona, pa",24410,43364
"altus, ok",24811,18338
"amarillo, tx",28274,199371
"americus, ga",18774,15108
"ames, ia",26548,66258
"amsterdam, ny",21978,17766
"anchorage, ak",41415,288000
"andrews, tx",28871,14109
"angola, in",23714,8732
"ann arbor, mi",42674,119980
"anniston-oxford-jacksonville, al",25368,18352
"appleton, wi",31313,74098
"arcadia, fl",17360,8314
"ardmore, ok",25982,24698
"arkadelphia, ar",17052,10726
"arkansas city-winfield, ks",22125,11806
"asheville, nc",33176,92870
"ashland, oh",25941,20275
"ashtabula, oh",18454,18017
"astoria, or",31108,10015
"atchison, ks",24237,16073
"athens, oh",16321,24536
"athens, tn",20823,14020
"athens, tx",21147,12753
"athens-clarke county, ga",23726,126913
"atlanta-sandy springs-roswell, ga",53091,237008
"atlantic city-hammonton, nj",27165,25838
"auburn, in",29101,13484
"auburn, ny",24902,26173
"auburn-opelika, al",27404,48583
"augusta-richmond county, ga-sc",22709,197888
"augusta-waterville, me",27501,17627
"austin, mn",27965,25233
"austin-round rock, tx",38904,556140
"bainbridge, ga",19025,12081
"bakersfield, ca",27060,384145
"baltimore-columbia-towson, md",43368,249434
"bangor, me",31412,32262
"baraboo, wi",29844,12165
"bardstown, ky",33674,13253
"barnstable town, ma",42596,44477
"barre, vt",24945,8528
"bartlesville, ok",30903,36144
"bastrop, la",12672,10023
"batavia, ny",25945,14379
"batesville, ar",25503,10878
"baton rouge, la",28491,220236
"battle creek, mi",24913,51093
"bay city, mi",22213,32717
"bay city, tx",24350,17535
"beatrice, ne",27187,12279
"beaumont-port arthur, tx",23939,85552
"beaver dam, wi",28172,16403
"beckley, wv",25478,15940
"bedford, in",24763,13212
"beeville, tx",18287,12793
"bellefontaine, oh",26016,13249
"bellingham, wa",30791,92314
"bemidji, mn",21628,15434
"bend-redmond, or",32143,66421
"bennettsville, sc",15702,7730
"bennington, vt",28900,9074
"berlin, nh-vt",21057,10122
"big rapids, mi",15322,10363
"big spring, tx",21873,28187
"big stone gap, va",24586,5132
"billings, mt",34178,109577
"binghamton, ny",23921,44399
"birmingham-hoover, al",35005,147585
"bismarck, nd",37487,73529
"blackfoot, id",22948,12034
"blacksburg-christiansburg-radford, va",26542,28318
"bloomington, il",38188,77330
"bloomington, in",23816,85755
"bloomsburg-berwick, pa",20975,11857
