city,tmpc,dwpc,mslp,wdir,wspd,lat,lon,address
abbeville,213.06214402076404,,10177.004180699107,73.38016720854621,41.33292177896068,29.495,-92.18,"Deadman Island, Vermilion Parish, Louisiana, United States"
aberdeen,112.78513261116707,58.699559125447784,10172.513731822028,152.44333043407784,31.99190362701393,41.46233333333333,-83.58433333333333,"Middleton Pike, Dunbridge, Wood County, Ohio, 43443, United States"
abilene,180.7620633249998,79.0400044222086,10151.25813110071,162.3848553999504,48.44396202569033,32.425666666666665,-99.794,"5356, Alamo Drive, Quail Park, Abilene, Taylor County, Texas, 79605, United States"
ada,156.67649139353927,95.90544682857816,,149.5158264947245,28.436107854630716,34.804,-96.671,"Ada Municipal Airport, 2800, Bloomfield Loop, Ada, Pontotoc County, Oklahoma, 74820, United States"
adelanto,134.60712927987154,-23.021935428912172,10109.243827658545,130.1807835752455,26.524513684240244,34.57666666666666,-117.48033333333332,"Vinton Road, Adelanto, San Bernardino County, California, United States"
aguadilla,262.4767441860465,209.95655951346654,,93.07228315054836,48.32834828846793,18.498,-67.129,"Maleza Alta, Aguadilla, Puerto Rico, 00604, United States"
aiea,256.4011189769354,190.84777891972138,10154.831107529357,101.34297038936815,45.198995319100355,21.324,-157.929,"Worchester Avenue, Honolulu, Honolulu County, Hawaii, 96853, United States"
alabaster,177.52300824175825,127.88334287349743,10185.76988669548,123.07192144373673,17.626591717333945,33.178,-86.782,"Shelby County Airport, County Road 12, Calera, Shelby County, Alabama, 35115, United States"
alameda,139.72958775836474,94.90177041690463,10170.382528735632,203.64688186972117,36.91092840013703,37.721,-122.221,"Oakland International Airport, Pardee Lane, Oakland, Alameda County, California, 94621, United States"
alamogordo,175.09128254662866,-4.1904691866159824,10141.661813537676,158.4887975388633,32.42072395833729,32.845,-106.0455,"US 70, Alamogordo, Otero County, New Mexico, 888310, United States"
alamosa,70.7784222737819,-52.749565015659435,10175.201892744479,158.9623231943923,34.19731733145076,37.439,-105.861,"San Luis Valley Regional Airport, Road 10 South, Alamosa County, Colorado, 81101-2322, United States"
albany,199.60519094443174,141.43572735590118,10192.281179138323,138.337907170982,24.899610359844143,31.536,-84.194,"Southwest Georgia Regional Airport, Habersham Road, Forest Park, Albany, Dougherty County, Georgia, 31701, United States"
albemarle,150.82691060075257,99.40897885039574,,105.59037711313394,18.14330299089727,35.417,-80.151,"Stanly County Airport, Prime Beef Boulevard, Palestine, Stanly County, North Carolina, 28127, United States"
albert lea,60.19772161843656,17.544847453188424,,161.27972671133884,31.145710156352646,43.683,-93.367,"Albert Lea Municipal Airport, Highland Avenue, Albert Lea, Freeborn County, Minnesota, 56007, United States"
albertville,161.2924844423169,130.98611775969363,,145.2327353734318,23.27318560206355,34.229,-86.256,"Horton Road, White Oak, Albertville, Marshall County, Alabama, 35950, United States"
albion,97.37235267034991,47.00851749539595,,139.65282583621683,23.51683967704729,42.251,-84.956,"Brooks Field, 17 Mile Road, Wrights Corners, Marshall, Fredonia Township, Calhoun County, Michigan, 49068, United States"
albuquerque,150.50062792556227,-16.305733211512106,10146.900984432234,168.15184694982554,36.74197967804544,35.042,-106.616,"E3@12/30, Sunport Boulevard Southeast, Kirtland Addition, Albuquerque, Bernalillo County, New Mexico, 87106-5117, United States"
alcoa,154.46167904054826,106.07791614303667,10184.079226163058,145.74036989044646,27.159680182752712,35.818,-83.986,"Alcoa Highway, Farrport, Alcoa, Blount County, Tennessee, 37701-1948, United States"
aldine,212.17248858447488,163.28881278538813,10172.193881058784,151.7362013946342,33.981963470319634,29.98,-95.36,"Fuel Storage Road, Houston, Harris County, Texas, 77073, United States"
