,metro_area/city,Per Capita Income,Pop
1,"aberdeen, sd","30,802",28257
2,"aberdeen, wa","23,090",16756
3,"abilene, tx",24529,123420
4,"ada, ok",23538,17235
5,"adrian, mi",20799,20600
6,"akron, oh",24688,197597
7,"alamogordo, nm",24999,31980
8,"albany, ga",20313,72130
9,"albany, or",29664,55338
10,"albany-schenectady-troy, ny",26440,70295
11,"albemarle, nc",24110,16246
12,"albert lea, mn",25844,17656
13,"albertville, al",20638,21711
14,"albuquerque, nm",30403,560513
15,"alexandria, la",27962,46180
16,"alexandria, mn",32468,13822
17,"alice, tx",21822,18682
18,"allentown-bethlehem-easton, pa-nj",25286,74815
19,"alma, mi",20237,8890
20,"alpena, mi",23446,9956
21,"altoona, pa",24410,43364
22,"altus, ok",24811,18338
23,"amarillo, tx",28274,199371
24,"americus, ga",18774,15108
25,"ames, ia",26548,66258
26,"amsterdam, ny",21978,17766
27,"anchorage, ak",41415,288000
28,"andrews, tx",28871,14109
29,"angola, in",23714,8732
30,"ann arbor, mi",42674,119980
31,"anniston-oxford-jacksonville, al",25368,18352
32,"appleton, wi",31313,74098
33,"arcadia, fl",17360,8314
34,"ardmore, ok",25982,24698
35,"arkadelphia, ar",17052,10726
36,"arkansas city-winfield, ks",22125,11806
37,"asheville, nc",33176,92870
38,"ashland, oh",25941,20275
39,"ashtabula, oh",18454,18017
40,"astoria, or",31108,10015
41,"atchison, ks",24237,16073
42,"athens, oh",16321,24536
43,"athens, tn",20823,14020
44,"athens, tx",21147,12753
45,"athens-clarke county, ga",23726,126913
46,"atlanta-sandy springs-roswell, ga",53091,237008
47,"atlantic city-hammonton, nj",27165,25838
48,"auburn, in",29101,13484
49,"auburn, ny",24902,26173
50,"auburn-opelika, al",27404,48583
51,"augusta-richmond county, ga-sc",22709,197888
52,"augusta-waterville, me",27501,17627
53,"austin, mn",27965,25233
54,"austin-round rock, tx",38904,556140
55,"bainbridge, ga",19025,12081
56,"bakersfield, ca",27060,384145
57,"baltimore-columbia-towson, md",43368,249434
58,"bangor, me",31412,32262
59,"baraboo, wi",29844,12165
60,"bardstown, ky",33674,13253
61,"barnstable town, ma",42596,44477
62,"barre, vt",24945,8528
63,"bartlesville, ok",30903,36144
64,"bastrop, la",12672,10023
65,"batavia, ny",25945,14379
66,"batesville, ar",25503,10878
67,"baton rouge, la",28491,220236
68,"battle creek, mi",24913,51093
69,"bay city, mi",22213,32717
70,"bay city, tx",24350,17535
71,"beatrice, ne",27187,12279
72,"beaumont-port arthur, tx",23939,85552
73,"beaver dam, wi",28172,16403
74,"beckley, wv",25478,15940
75,"bedford, in",24763,13212
76,"beeville, tx",18287,12793
77,"bellefontaine, oh",26016,13249
78,"bellingham, wa",30791,92314
79,"bemidji, mn",21628,15434
80,"bend-redmond, or",32143,66421
81,"bennettsville, sc",15702,7730
82,"bennington, vt",28900,9074
83,"berlin, nh-vt",21057,10122
84,"big rapids, mi",15322,10363
85,"big spring, tx",21873,28187
